"http://www.votesmart.org/issue_rating_detail.php?r_id=3081&rtype=R",,,,,,
"WI","U.S. House",2,"Tammy Baldwin",,"Democratic",100
"WI","U.S. House",3,"Ronald Kind",,"Democratic",87
"WI","U.S. House",5,"James Sensenbrenner",,"Republican",33
"WI","U.S. House",6,"Thomas Petri",,"Republican",40
"WI","U.S. House",7,"David Ross Obey",,"Democratic",93
"WV","U.S. Senate","Sr","Robert Byrd",,"Democratic",73
"WV","U.S. House",1,"Alan Mollohan",,"Democratic",60
"WV","U.S. House",2,"Shelley Capito",,"Republican",13
"WV","U.S. House",3,"Nick Rahall",,"Democratic",93
"WY","U.S. Senate","Sr","Michael Enzi",,"Republican",0
"WY","U.S. House","At-Large","Barbara Cubin",,"Republican",0
